video_id,author,comment,likes,published
CPWxExGk7PM,@Pato_Cuack,queen,1,2025-04-16T07:07:10Z
CPWxExGk7PM,@gokcekaralar9755,Girl you ate this uppppp I THINK THE APPLE ROTTEN RIGHT TO THE COREE🖤💚🖤🍏🍏,6,2025-04-15T21:52:18Z
CPWxExGk7PM,@SCREAMINGSIRENOPGAMES,I love how she made a whole song making fun of the newer generations 😂,1,2025-04-15T14:47:01Z
CPWxExGk7PM,@michellemzrs6138,Here after watch the queen Gabbriette killing it at the Bratchella.🙂‍↕️🔥,5,2025-04-14T22:11:39Z
CPWxExGk7PM,@HELENHesketh,My cousin loves this song but i had to warn her not to watch the lyric vid bc she is epileptic....,4,2025-04-14T19:14:13Z
CPWxExGk7PM,@CassiaSilva-l7p,The lights lokey hurt my eyes 👀,0,2025-04-14T06:49:01Z
CPWxExGk7PM,@KristopheBaldwin-u4h,This video gave me an apple-ectic seizure @-@,0,2025-04-14T05:06:57Z
CPWxExGk7PM,@cristian1ach,Más lento Carla que no alcanzo a leer D:,0,2025-04-13T20:04:18Z
CPWxExGk7PM,@dzeny83,who love that music,0,2025-04-13T19:11:44Z
CPWxExGk7PM,@Ella-u4u5y,I love ur colab w dti,0,2025-04-13T17:28:38Z
CPWxExGk7PM,@MissDragons25,That video..💀,0,2025-04-13T00:26:34Z
CPWxExGk7PM,@Snowdrop7642,Why do i feel like she made this with capcut😶,0,2025-04-12T22:29:17Z
CPWxExGk7PM,@mitzukonotfound8011,0:23 I Thought she was gonna said I Wanna Throw Apple At Your Face Consider She mention to be Angry at part lyrics,0,2025-04-12T08:53:22Z
CPWxExGk7PM,@francinelovessamandcat,Anyone in 2025?,3,2025-04-12T04:45:09Z
CPWxExGk7PM,@defneniningilizcedunyas9787,She can time travel,0,2025-04-11T21:26:50Z
CPWxExGk7PM,@mtregembo,Love,0,2025-04-11T14:59:25Z
CPWxExGk7PM,@Sigma_Nikol,IM GONNA DRIVE GONNA DRIVE ALL NIGHT,1,2025-04-11T05:59:56Z
CPWxExGk7PM,@ronaldrockey4306,He probably thinks you are going to the airport,0,2025-04-10T21:05:18Z
CPWxExGk7PM,@Iamgabriellebenito,On dirait un générique de fin de film! ❤🎉,0,2025-04-10T00:47:45Z
CPWxExGk7PM,@Cooklathecookie,"Every one: trama, everything else
Me: GACHA MUSIC",0,2025-04-09T20:20:30Z
CPWxExGk7PM,@005AJ,There’s no way that it’s almost been a year 😭,0,2025-04-09T05:47:45Z
CPWxExGk7PM,@gaelgonzalez2080,Tqm Charli,0,2025-04-08T05:11:43Z
CPWxExGk7PM,@MimiDugaCarapa,Brat summer brooo i miss it so much but Like the dti brat updateeee<3,1,2025-04-07T21:51:43Z
CPWxExGk7PM,@Keshasuxx-d6m,2007,0,2025-04-07T08:50:52Z
CPWxExGk7PM,@TRBTheRedBrick,"lyrics: i want to go to the airport
throw apple into the sky
THE AIRPORT",1,2025-04-06T23:35:35Z
CPWxExGk7PM,@SerinaVillage,"Who became a fan and found Charli xcx because of the dti update
👇(not begging)",1,2025-04-06T22:55:43Z
